"ID","배송일자","계약번호","구분","담당기사","고객사","주소","방문시간","담당자_연락처","품목_수량","단프라보관","통화여부","의뢰상태","배송방법","추후일정_특이사항","비고_전문","원본시트"
"1","2025-12-26","","배송","조경찬","(주)알앤텍","12989 경기 하남시 초광산단동로6번길 71 (주)알앤텍","무관","","프린터 3대 배송 / 10시출발","","","배송완료","직배송","","프린터 3대 배송 / 10시출발","25.12.26"
"2","2025-12-26","","배송","조경찬","스카이알앤텍(주)","06167 서울 강남구 삼성로96길 23 DB삼성동빌딩 DB Inc.","무관","","배송 전 통화 요청","","","배송완료","직배송","","배송 전 통화 요청","25.12.26"
"3","2025-12-26","","수령","조경찬","렌탈허브","서울 강남구 논현로81길 9","무관","","임차자산 수령/ 아침에 상황 보고 구리에서 본사로 퀵 접수 / MAC 1대 / 데스크탑 1대, 모니터 2대","","","배송완료","직배송","","임차자산 수령/ 아침에 상황 보고 구리에서 본사로 퀵 접수
MAC 1대
데스크탑 1대, 모니터 2대","25.12.26"
"4","2026-09-03","","배송, 회수","조경찬","주식회사 지티이노비젼","서울 중구 세종대로 55 부영태평빌딩","9:00","김두홍 책임 / 010-251-88040","16ZB90R i5 13세대 (2) / 15U50R 2대(자산번호 224080738,  224120935) 회수","","","진행중","직배송","6.26 / 에스케이이터닉스 / 노트북 A/S 회수 -> 수리 견적만 진행 / 보험 처리 진행 중(*8월 말 예정) /","김두홍 책임 / 010-251-88040
16ZB90R i5 13세대 (2)
15U50R 2대(자산번호 224080738,  224120935) 회수","26.09.03"
"5","2026-09-03","","회수","조경찬","주식회사신성씨앤에스","서울 중구 퇴계로 324 성우빌딩 11층","9:30","정다혜 / 010-855-50767","노 3","","","진행중","직배송","부광약품 / 02-828-8055 / 부품 문제로 수리기간 일주일 안내","정다혜 / 010-855-50767
노 3","26.09.03"
"6","2026-09-03","","배송","조경찬","주식회사 지티이노비젼","서울 성동구 상원1길 26
서울숲A타워 1105호","10:30","박재정 / 010-9020-8601","16ZB90R i5 13세대 (5) , SPLA (5)","","","진행중","직배송","","박재정 / 010-9020-8601
16ZB90R i5 13세대 (5) , SPLA (5)","26.09.03"
"7","2026-09-03","","회수","조경찬","주식회사 호키포키컴퍼니","서울 영등포구 양산로 91 4층 409호","11:30","김서현 / 010-3162-6979","아이패드 1, 갤텝 1","","O","진행중","직배송","","김서현 / 010-3162-6979
아이패드 1, 갤텝 1","26.09.03"
"8","2026-09-03","","배송","이성호","주식회사 중앙솔루션","경기 파주시 월롱면 홀작로 75-25","오후 중","윤태웅 과장 / 010-7686-6978","NT551XED i5 12th (17)","","","진행중","직배송","스카이알엔텍 / 갤탭 A9 수리 대기 4대 수리 견적서(*강보성 대리님 요청) / 서비스센터 갈 일 있을 때","윤태웅 과장 / 010-7686-6978
NT551XED i5 12th (17)","26.09.03"
"9","2026-09-04","2R2609005","배송","","주식회사 렌트릭스","경기 수원시 팔달구 효원로 1
(옛 경기도청사 내 제2별관)","","백종훈 대표 / 010-2002-7219","NT551XED i5 12th (10)","","","출고완료","직배송","산업안전보건공단 경기남부지사 불량 키보드 회수 / 20260608A00046","백종훈 대표 / 010-2002-7219
NT551XED i5 12th (10)","26.09.04"
"10","2026-09-04","2R2609006","배송","","삼성화재해상(주)","서울 강남구 테헤란로 114
역삼빌딩 13F 삼성화재 수도권마케팅1팀","","이상배 / 010-646-43420","15U50R i5 13세대 (7)","","","출고완료","직배송","6.26 / 에스케이이터닉스 / 노트북 A/S 회수 -> 수리 견적만 진행 / 보험 처리 진행 중(*8월 말 예정) /","이상배 / 010-646-43420
15U50R i5 13세대 (7)","26.09.04"
"11","2026-09-04","2R2609005","배송","","주식회사 렌트릭스
(렌탈허브)","서울 강남구 논현로81길 9
부성빌딩1층","","이규삼 대표 / 010-8979-8991","갤럭시탭 S9 FE PLUS (200) 납품","","","출고완료","직배송","불량 노트북 및 테블릿 수리 / 에스케이이터닉스. 스카이알엔텍","이규삼 대표 / 010-8979-8991
갤럭시탭 S9 FE PLUS (200) 납품","26.09.04"
"12","2026-09-04","","배송","","주식회사 비엔 솔루션","서울 강남구 테헤란로 432
DB금융센터 8층","","조광우 부장 / 010-474-67407","24"" Monitor (8)","","","예정","직배송","부광약품 / 02-828-8055 / 부품 문제로 수리기간 일주일 안내","조광우 부장 / 010-474-67407
24"" Monitor (8)","26.09.04"
"13","2026-09-04","2R2609018","배송","","(주)케이엠시스템","서울 종로구 세종대로 149
(세종로 211) 광화문빌딩9층 한국리스크관리","","김기문 이사님 / 010-665-69672","15U50R i5 13세대 (2) , SPLA (2)","","","출고완료","직배송","요소수 인터넷 구매","김기문 이사님 / 010-665-69672
15U50R i5 13세대 (2) , SPLA (2)","26.09.04"
"14","2026-09-03","2R2402078","회수","","주식회사 선우컴퍼니","경기 화성시 떡전골로 60","","","","","","회수의뢰완료","직배송","","","스케줄_0903_152304"
